"Subject","issue_description","Case Summary","Issue Summary","resolution","Account Name","Case Number"
"Giving a non-System Admin access to Your Account page.","Giving a non-System Admin access to Your Account page.","The conversation was about a user wanting a non-system admin to access the 'Your account' app for billing related information. The agent suggested giving the affected user the 'Manage Billing' or 'Your Account App Admin User' permission set. The user confirmed that the change worked and didn't need any further assistance. The agent closed the case and wished the user continued success.","User access to 'Your account' app for billing related info","Suggested giving the affected user the 'Manage Billing' or 'Your Account App Admin User' permission set","Novogradac & Company LLP","467114408"
"Hello.  I need to create a report that shows all active users and their 18 digit ID. Thank you.","Hello.  I need to create a report that shows all active users and their 18 digit ID. Thank you.","Ritikesh joined the chat and offered assistance with creating a report that shows active users and their 18 digit ID. They suggested a screen share session to discuss further.","Creating a report that shows active users and their 18 digit ID","The agent offered a screen share session to discuss the issue further. 

Create new formula field and use CASESAFEID(Id) function to convert 15 digit id to 18 digit id","Hunter Industries Inc.","467136502"
"insufficient access rights on cross-reference id when sending an email from a flow","insufficient access rights on cross-reference id when sending an email from a flow","The conversation was about an error related to insufficient access rights on a cross-reference ID when sending an email. The user mentioned that the email template is causing the issue, but they are an admin and the folder is public. The agent offered to connect on a screen-sharing session to troubleshoot. The user agreed and provided their phone number. The agent shared a screen-sharing link and assured the user that they are always available to help. The chat session ended with the agent wishing the user a good day.","Insufficient access rights on cross-reference ID when sending an email","The email template was on opportunity object and in flow send email action relatedToId they were using account's id. After changing the relatedToId to oppotunity Id, it worked.","MATTER Chicago","467183659"
"Unable to create a case","Unable to create a case","The conversation was about creating a case for SFDC support. The user was unable to create the case and asked the agent to create it. The issue was related to exceeding the daily limit for the bulk API batches. The user requested to temporarily increase the limit. The agent created the case and set the priority as HIGH. An engineer was assigned to the case.","Exceeding daily limit for bulk API batches","The agent created a case and set the priority as HIGH. An engineer was assigned to the case.","Motive","467183909"
"You can?t activate this flow because it always runs in system context. Your Salesforce admin can help with that.","You can?t activate this flow because it always runs in system context. Your Salesforce admin can help with that.","Ritikesh joined the chat and helped the end user troubleshoot an error message in the sandbox. They suggested a screen-sharing session and provided a link. The end user agreed and the chat ended on a positive note.","Error message in sandbox","Activating a flow requires Modify All Data permission. After giving the required permission to user, he was able to activate a flow","Mitratech - UE","467200679"
"Cant create new Campaigns even though I have set the permissions to do so.","Cant create new Campaigns even though I have set the permissions to do so.","The conversation was about the user not being able to create new campaigns in their org. The issue was resolved by checking the 'marketing user' checkbox on the affected user detail page. The user confirmed that it worked and thanked the analyst for their help.","User unable to create new campaigns in org","Checked 'marketing user' checkbox on affected user detail page","Sanitas USA, Inc.","467310386"
"Hello, I can't update the emails for some of my users in sandbox - it says verified but its not the real email","Hello, I can't update the emails for some of my users in sandbox - it says verified but its not the real email","The conversation was about updating user emails in the sandbox. The support agent was unable to refresh the sandbox but offered to remove the '.invalid' suffix from affected user emails. The agent successfully updated the emails for all three affected users.","Updating user emails in the sandbox","The support agent removed the '.invalid' suffix from affected user emails and successfully updated the emails for all three affected users.","Doximity, Inc.","467311092"
"Hello Customer support, I have a question regarding deletion of contact, who is linked with CASE object Would it be possible to delete contact inform","Hello Customer support, I have a question regarding deletion of contact, who is linked with CASE object
Would it be possible to delete contact information even though it is linked the CASE record?","The conversation involved Ritikesh and the end user discussing the deletion of a contact linked to a case. Ritikesh explained that it is not possible to directly delete a contact record linked to a case in Salesforce due to data integrity. However, Ritikesh suggested updating the 'Contact' field on the case record to link it with a different contact or leave it blank to disassociate the contact from the case. The conversation also touched upon the end user's query about provisioning the sandbox for the Shield platform, to which Ritikesh mentioned that they don't have much knowledge and advised raising a separate ticket with the backend team.","Deletion of contact linked to a case in Salesforce","Update the 'Contact' field on the case record to link it with a different contact or leave it blank to disassociate the contact from the case.","Samsung Electronics America, Inc","467312412"
"Missing ""Sales Emails"" in custom prompt template types, when using Einstein Copilot","Missing ""Sales Emails"" in custom prompt template types, when using Einstein Copilot","The conversation was about the EndUser's difficulty in creating a custom prompt template for 'Sales Email' in the Einstein Copilot features. Ritikesh confirmed that the 'Sales Emails' feature was not enabled for the EndUser's organization and provided instructions on how to enable it. The issue was resolved when the EndUser followed the instructions and successfully created the new type of prompt template.","Difficulty in creating a custom prompt template for 'Sales Email'","Enable the 'Sales Emails' feature in Setup and assign the necessary permission set to users

https://help.salesforce.com/s/articleView?id=sf.einstein_sales_emails_setup.htm&type=5","Copado Inc.","467312607"
"Hello, is it possible to be able to extract our notes section into a PDF","Hello, is it possible to be able to extract our notes section into a PDF","The conversation was about the customer wanting to extract the notes section under the opportunities tab into a PDF. The agent informed the customer that Salesforce does not offer a direct built-in functionality for this. The customer asked if Health Cloud has this feature, and the agent confirmed that it does not. The agent suggested building a Custom Visualforce Page or Apex Class as a workaround. The customer asked if they should reach out to the team that assisted with startup, and the agent advised that it would be a good idea. The conversation ended with the agent providing assistance and wishing the customer a happy day.","Extracting notes section under the opportunities tab into a PDF","Salesforce does not offer a direct built-in functionality for this. The agent suggested building a Custom Visualforce Page or Apex Class as a workaround.","Care Matters Healthcare Inc. DBA Concise Care Group","467314049"
"i have created a queue but i am unable to assign a task to the queue. the queue i created does not show up when searched for on the task","i have created a queue but i am unable to assign a task to the queue. the queue i created does not show up when searched for on the task","Ritikesh joined the chat and asked for the phone number and time zone. The end user mentioned creating a queue that is not usable on a task. Ritikesh suggested verifying if the queue includes 'Task' as a supported object. The end user confirmed that the queue includes tasks. Ritikesh asked if the task was created from the activity timeline or task tab. The end user mentioned that it is working now, possibly due to a lag.","Creating a queue that is not usable on a task","Verify if the queue includes 'Task' as a supported object","FieldHouse Capital Management","467335062"
"I need to switch a user. A current user will no longer need Salesforce access. I would like to switch that account access to a new user. Can we walk t","I need to switch a user. A current user will no longer need Salesforce access. I would like to switch that account access to a new user. Can we walk thru on a quick screenshare?","Ritikesh joined the chat and asked the customer how they were. The customer shared their phone number and time zone. Ritikesh provided a screenmeet link and phone number for the customer to join a video meeting. Ritikesh assured the customer of continued support and closed the chat session.","Assisting with customer concern","Frank wanted to activate one user and deactivate other. Went on screen share session and guided him through the steps","Somnoware Healthcare Systems, Inc.","467337618"
"Records not located","Records not located","Ritikesh and EndUser had a chat session regarding the issue of not being able to locate records in the org. Ritikesh offered to have a screen sharing session to assist with the problem.","Not able to locate records in the org","Cx wanted to see email messages record which was counting against his storage. WEnt on screenshare and guided him through the steps.","TigerConnect, Inc.","467357654"
"The enhanced Omni deployment in external site shows error :   Dashboard:1139 Uncaught TypeError: embeddedservice_bootstrap.prechatAPI.setPrechatFiel","The enhanced Omni deployment in external site shows error : 

Dashboard:1139 Uncaught TypeError: embeddedservice_bootstrap.prechatAPI.setPrechatFields is not a function
    at Dashboard:1139:58
    at G (bootstrap.min.js:20:199)
    at t.emitEmbeddedMessa","Ritikesh and EndUser had a conversation about an error in an embedded service deployment code snippet. Ritikesh asked for the EndUser's phone number and time zone. They agreed to connect on a screen-sharing session to troubleshoot the issue.","Error in embedded service deployment code snippet","Cx said he will initiate a new chat with service cloud chat team","Heavy Construction Systems Specialists, LLC","467378223"
"Subject was not added by a customer","","Ritikesh joined the chat to assist the end user with an urgent issue regarding creating/updating records on their UAT environment. They agreed to connect on a screen-sharing session. Ritikesh provided a screen-sharing link and requested the end user's phone number and time zone. The chat session ended with Ritikesh wishing the end user continued success and offering further assistance if needed.","Exceeding limit error message when creating/updating records on UAT environment","Data storage was already consumed over 195% in cx sandbox.","Cyber Fortress","467378958"
"Subject was not added by a customer","","The conversation was about the customer experiencing an error while trying to add a customer list to an active campaign. Ritikesh offered to troubleshoot the issue through a screen-sharing session. The end user agreed and provided contact information. Ritikesh shared a screen-sharing link and closed the chat session with well wishes.","Error adding customer list to active campaign","User was adding account records from report to active campagin. Explained the user that she can add account to campaign though but is it really her requirement and she realised she was doing it wrong. She needed to pull out report on contacts with assets and add it to campaign while she was trying to add account with assets to report.","School Bus Safety Company","467387248"
"Productive org email limit exceeded, I'd like to know, what can I do to increase this daily limit? Because my org isn't send emails","Productive org email limit exceeded, I'd like to know, what can I do to increase this daily limit? Because my org isn't send emails","Ritikesh and EndUser had a conversation about email limits and a screen share session was scheduled. The EndUser expressed difficulty in communicating by phone due to language barriers. Ritikesh suggested a screen share session and provided a link for a video meeting.","Email limits and communication difficulties","Shared https://help.salesforce.com/s/articleView?id=000386765&type=1 with the customer and cx created a new case with FA team to increase the email limit, case #467387709","Porto Seguro Companhia De Seguros Gerais (PORTOSaude)","467387516"
"Login history report on users logging in via SSO","Login history report on users logging in via SSO","Ritikesh assisted the end user with their request to pull up a report to see login history of users logged in via SSO. Ritikesh provided an alternate approach by downloading the login history and filtering the data in a spreadsheet application. They also offered a screen-sharing session to further troubleshoot the issue. The chat ended with Ritikesh providing closing remarks and offering further assistance if needed.","Pulling up a report to see login history of users logged in via SSO","Download the login history and filter the data in a spreadsheet application","Cantaloupe","467398771"
"I want to ensure that my SF org is set up for a few employees to work remotely outside the US later this year. OrgID:  00D5f000003HIh2EAG","I want to ensure that my SF org is set up for a few employees to work remotely outside the US later this year.
OrgID:  00D5f000003HIh2EAG","Wafa, Ritikesh, and the end user had a conversation. They discussed connecting on a screen-sharing session to troubleshoot an issue.","Screen-sharing session to troubleshoot an issue","Go to Setup in your Salesforce org.
Enter ""Session Settings"" in the Quick Find box and select it.
Review the Enforce login IP ranges on every request checkbox.
If checked: Login IP Restrictions are enabled in your org and users may face problem login outside the set ip ranges.


For customer, ip ranges were not","Omaha Zoo Foundation","467399190"
"Subject was not added by a customer","","Ritikesh and EndUser had a chat about renaming a lightning page layout. They agreed to connect on a screen-sharing session to troubleshoot and discuss the details.","Renaming a lightning page layout","open any record -> edit page -> change the record page name","Chartwell Inc.","467400478"
"Custom Metadata Type is missing custom input fields to enter","Custom Metadata Type is missing custom input fields to enter","Ritikesh joined the chat and offered screenshare assistance. The end user requested screenshare and Ritikesh provided the link. Ritikesh asked the end user to end the chat session when finished. The conversation ended positively.","Screenshare assistance","Issue: fields were not appearing in deployed custom metadata type in target org

Resolution: Added the field on page layout and it then appeared","onsemi - Main Org*","467474332"
"Subject was not added by a customer","","The conversation was about adding a chart view for an activities report and the possibility of screen sharing. The agent provided instructions on how to add a chart view and shared a screen sharing link. The agent also expressed willingness to help in case of any issues. The chat session was closed with well wishes.","Adding a chart view for an activities report and screen sharing","They need to group rows in order to add chart to report","Measurabl","467474693"
"My password is not working again, I am unable to reset the password through ""forgot my password"". Please reset my password one more time.","My password is not working again, I am unable to reset the password through ""forgot my password"".
Please reset my password one more time.","Ritikesh helped the end user reset their password and kept the case open for 2 days in case they face the same issue again.","Password reset","Ritikesh reset the end user's password and kept the case open for 2 days.","Lockton Companies FSC","467476364"
"Hi, I enabled Source tracking in Production. Then I refreshed my orgs. But when I went back to prod, it was disabled. I enabled it back again. But I d","Hi, I enabled Source tracking in Production. Then I refreshed my orgs. But when I went back to prod, it was disabled. I enabled it back again. But I don't want to refresh my Dev and FULL sandboxes.","The conversation was about an issue with source tracking enabling. The agent offered to troubleshoot through a screen-sharing session. The chat ended with the agent closing the session and wishing the customer a good day.","Issue with source tracking enabling","Org Editions that Support Source Tracking
Developer Edition orgs, production orgs, Partial Copy sandboxes, and Full sandboxes?Source tracking isn?t supported.
Developer and Developer Pro sandboxes?Source tracking is supported if their associated production org has been enabled for source tracking.
Scratch orgs?Source tracking is always supported.

https://developer.salesforce.com/docs/atlas.en-us.sfdx_dev.meta/sfdx_dev/sfdx_dev_source_tracking_which_orgs.htm","United Road Services, Inc.","467532702"
"I am attempting to convert a Lead and getting the following error message ""We cannot convert this lead because some values are restricted on the conta","I am attempting to convert a Lead and getting the following error message ""We cannot convert this lead because some values are restricted on the contact, account, or opportunity. Ask your admin to check the field mappings.""","The conversation was about a customer facing an issue with lead conversion. The customer provided their phone number and time zone. They agreed to a screen-sharing session to troubleshoot the issue.","Issue with lead conversion","https://help.salesforce.com/s/articleView?id=000383222&type=1","Donor Search - NO SDR/BDR Outreach","467535483"
"Unable to add data pipelines","Unable to add data pipelines","The conversation started with Ritikesh greeting and asking Julie how they are. The end user mentioned that they are unable to connect to data pipelines and there is no option in their setup. Ritikesh requested the end user's phone number and time zone in case they get disconnected. They also suggested a screen-sharing session to troubleshoot the issue. The end user agreed to the screen-sharing session.","Unable to connect to data pipelines","Data pipelines comes with an extra cost as outlined here: https://help.salesforce.com/s/articleView?id=sf.sdp_setup_enable.htm&type=5","PG&E - Environmental Services","467553786"
"Hi,  we have reduced our SF license count considerably in the last few months as we have migrated off the platfrom and I have received notification th","Hi,  we have reduced our SF license count considerably in the last few months as we have migrated off the platfrom and I have received notification that my storage use is too high. I am trying to delete unused files but am encountering a couple of issues.","The conversation started with Ritikesh greeting the end user and discussing the issue of not being able to access and delete files. Ritikesh informed the end user that the person with 'Modify All Data' permission can delete any files within the organization. They agreed to have a screenshare session to further discuss the issue. The end user provided their contact number and time zone. The conversation ended with Ritikesh sharing a link for the screenshare session.","The end user is unable to access and delete files","The person with 'Modify All Data' permission can delete any files within the organization

using dataloader: https://help.salesforce.com/s/articleView?id=000387186&type=1","Brampton Brick Limited","467562534"
"My company has an Analytic Studio account but I cannot see it from my apps in Salesforce. How do I access it?","My company has an Analytic Studio account but I cannot see it from my apps in Salesforce. How do I access it?","The conversation was about the EndUser wanting to work with Analytic Studios to improve their dashboards, but they couldn't find the app in their Salesforce account. They agreed to have a screen-sharing session to troubleshoot the issue. The EndUser provided their contact number, time zone, and working hours. The chat ended abruptly.","The EndUser couldn't find the Analytic Studios app in their Salesforce account.","user was lacking CRM analytics Admin permission set. After assigning the required PS, it worked.","Engineering Tomorrow","467564706"
"I can't find the front office tab to create a new opportunity","I can't find the front office tab to create a new opportunity","The end user needed help finding the front office tab to create a new opportunity. Ritikesh suggested clicking on the app launcher and typing the tab name, but it didn't appear. Ritikesh informed the end user that a system admin needs to configure the tab settings and provided instructions for the admin to follow. The end user did not respond, and the chat session was concluded.","The end user needed help finding the front office tab to create a new opportunity.","A system admin needs to configure the tab settings. The end user was advised to reach out to their internal system admin for assistance.","CBTS Technology","467576443"
"I have several opporunities that are opened, but my software glitched and they are need to be deleted. I cannot locate where to delete them","I have several opporunities that are opened, but my software glitched and they are need to be deleted. I cannot locate where to delete them","The conversation was about a customer facing issues with deleting opportunities. The customer provided their contact information and agreed to a screen-sharing session for troubleshooting. The chat session ended with the agent wishing the customer success and closing the chat.","Issue deleting opportunities","cx didnt has the permission to delete the opty. Advised the cx to reach out to her internal system admin for assistance","The Prudential Insurance Company of America","467584520"
"Summer 24 update isn't available on our org: https://help.salesforce.com/s/articleView?id=release-notes.rn_experiences_forms_buttons_lwr.htm&release=2","Summer 24 update isn't available on our org: https://help.salesforce.com/s/articleView?id=release-notes.rn_experiences_forms_buttons_lwr.htm&release=250&type=5","The conversation was about the 'Customize the Forms and Buttons on Your LWR' feature in the Summer'24 release. The customer was asking if the feature was available in their sandbox, and the agent confirmed that it was. They also provided instructions on how to grant login access to the org. The customer then asked about the difference between AURA and LWR, and the agent explained that they are different frameworks for building sites. The customer was satisfied with the information and closed the case.","Availability of 'Customize the Forms and Buttons on Your LWR' feature in the Summer'24 release","The feature is available in the customer's sandbox. The agent provided instructions on how to grant login access to the org.","Vibrant Emotional Health","467643303"
"This is to check move email templates from private to public folder and also user not delete the public folder email templates","This is to check move email templates from private to public folder and also user not delete the public folder email templates","The conversation was about a user who wanted to restrict the deletion of email templates in Salesforce. The agent explained that currently, there is no way to restrict this permission, but they recommended voting for the feature on the Ideas site. The user also asked about creating a public folder and sharing it with customers, and the agent provided a link to the help article on how to do that. Overall, the agent provided helpful information and closed the chat session.","Restricting deletion of email templates in Salesforce","Currently, there is no way to restrict the deletion of email templates. The agent recommended voting for the feature on the Ideas site.","Dwyer-Omega","467643513"
"Hello, I am looking for instructions on how my team lead investment advisor can add me on SalesForce so that I can see his cliental. We have instructi","Hello, I am looking for instructions on how my team lead investment advisor can add me on SalesForce so that I can see his cliental. We have instructions on how to do it on the old SalesForce application, but not on the new SalesForce application.","The conversation involved Ritikesh and Adam. The end user requested step-by-step instructions to add themselves to a team. Ritikesh suggested reaching out to the system admin for assistance and provided contact details for the admin. The end user expressed gratitude and the chat session was closed.","The end user needed assistance with adding themselves to a team","The end user was advised to contact the system admin for assistance and provided with contact details","Bank of Montreal (NB)","467653848"
"CPQ quote is entering approval process when criteria is not met","CPQ quote is entering approval process when criteria is not met","EndUser was experiencing an issue with their CPQ quote triggering an approval process when the criteria wasn't met, but they resolved it by discovering they had an outdated flow running.","CPQ quote triggering approval process incorrectly","EndUser resolved the issue by identifying and updating an outdated flow.","Emerald Cloud Lab","467679909"
"The background color on my quotes has changed such that alternating lines are very dark, which makes the quote very hard to read.","The background color on my quotes has changed such that alternating lines are very dark, which makes the quote very hard to read.","The background color on quotes has changed in the Summer'24 release, making it hard to read. The issue has been identified and a solution is in progress. Unfortunately, there is no ETA for the fix yet.","Background color on quotes in the Summer'24 release is hard to read","Solution is in progress, no ETA available
KI: https://issues.salesforce.com/issue/a028c00000zIzib/summer-24-release-quote-pdf-alternating-table-row-grey-color-is-more-difficult-to-read","Apposite Technologies LLC","467701956"
"Salesforce Admin cannot login because of a deactivated flow assigned to a login flow","Salesforce Admin cannot login because of a deactivated flow assigned to a login flow","The system admin was unable to login to Salesforce due to a login flow issue in the production environment. The agent deleted all 4 login flows, allowing the admin to log in successfully.","Login flow issue in production environment","Agent deleted all 4 login flows, enabling the system admin to log in","PDQ America","467702074"
"Verify my email address so I can send outgoing emails from salesforce.","Verify my email address so I can send outgoing emails from salesforce.","The conversation involved verifying an email address, with the suggestion for the end user to contact their system admin for assistance.","Email address verification","End user advised to contact system admin for assistance","Herc Rentals*","467711102"
"Is there a way to move the filter pop out to the left side of the screen in list view?","Is there a way to move the filter pop out to the left side of the screen in list view?","The conversation involved a user requesting to flip the position of filters in a list view, which was not possible due to standard behavior. The chat ended with the user being thanked for their understanding and asked to end the session.","User request to change filter position in list view","Not possible due to standard behavior","Palmer College of Chiropractic -  Davenport","467712012"
"Getting an error when trying to view the dashboard on the home page","Getting an error when trying to view the dashboard on the home page","The chat involved troubleshooting an error on the dashboard for JJ. The issue was resolved by confirming system admin profile and granting login access. Additional troubleshooting steps were provided to resolve the error.","Error on dashboard for JJ","Provided resoltuion give in https://trailhead.salesforce.com/trailblazer-community/feed/0D54V00007epkQrSAI","Granite Funding Group","467736782"
"I cannot enable User Access Policies in my sandbox ""Logan2""","I cannot enable User Access Policies in my sandbox ""Logan2""","The EndUser was having trouble finding the User Access Policies option in their sandbox environment, but it was discovered that it is a beta feature not available for all orgs.","User Access Policies option missing in sandbox environment","The feature is a beta feature and not available for all orgs.","Care.com Inc. Enterprise (Logan Org)","467736795"
"I have created LWC and placed it into button, and it is not working properly, need help.","I have created LWC and placed it into button, and it is not working properly, need help.","The conversation involved troubleshooting a LWC component placed in a button that was not working. A screen-sharing session was initiated to resolve the issue, and the custom button code was updated successfully.","Troubleshooting a LWC component placed in a button that was not working","The custom button code was updated successfully.
 custom button code: /lightning/r/Account/{!Account.Id}/related/ActivityHistories/view","BrightEdge","467767226"
"Every time I attempt to add a 'Get' into my flow, I receive the error: 'Unexpected Metadata'. The error does not give more information, but I am unab","Every time I attempt to add a 'Get' into my flow, I receive the error: 'Unexpected Metadata'.
The error does not give more information, but I am unable to save the flow with the Get.","The conversation revolved around an error encountered when using the 'get records' element in a flow. The agent requested screenshots and URLs to investigate further. The issue was resolved by saving the flow as a new version.","Error encountered when using 'get records' element in a flow","The issue was resolved by saving the flow as a new version","Wynn Las Vegas, LLC","467769609"
"How do I export contacts and leads","How do I export contacts and leads","The conversation involved discussing two main ways to export contacts and leads in Salesforce. The agent offered to send a detailed email to answer the query if the customer needed further assistance.","Customer query on exporting contacts and leads in Salesforce","Agent offered to send a detailed email to answer the query","Movement Mortgage","467794477"
"Voluntary hyperforce migration for sandboxes","Voluntary hyperforce migration for sandboxes","The conversation revolved around hyperforce migration for sandboxes. The user had questions about migrating sandboxes to hyperforce instances, availability of Upgrade and Manage tabs, and preparing in advance for migration. The agent provided information on how to prepare for migration, explained the purpose of Upgrade and Manage tabs, and suggested reaching out to the account executive for a Trial Org on Hyperforce for testing purposes.","Availability of Upgrade and Manage tabs and preparing in advance for hyperforce migration","The Upgrade and Manage tabs will be available by FY-25 to show migration details, and customers can reach out to their account executive for a Trial Org on Hyperforce for testing purposes.","Farmers Group, Inc.","467796701"
"Hi Team, After deploying the dashboard through copado the logo image is not loading why? Deployment got completed successfully but doesn't able to vi","Hi Team,
After deploying the dashboard through copado the logo image is not loading why? Deployment got completed successfully but doesn't able to view the images in salesforce org.
Thanks,
Gayathri","The chat was about troubleshooting an issue with a logo image not loading after deployment. The agent requested screenshots of the org where it is and isn't displaying, and offered to connect for a screen-sharing session to troubleshoot further.","Troubleshooting logo image not loading after deployment.","The agent requested screenshots and offered a screen-sharing session for further troubleshooting but customer didn't respond and chat got disconnected","Intel / Salesforce CoE","467824731"
"Salesforce authenticator is not receiving push notifications for approving login. Verification codes still work. I can Add an Account, but it does not","Salesforce authenticator is not receiving push notifications for approving login. Verification codes still work. I can Add an Account, but it does not appear in my list of environments. Can't access new sandboxes because of this.","The chat session involved troubleshooting an issue with MFA and ended with a screen-sharing session. The agent provided assistance and closed the chat session on a positive note.","Issue with MFA","Issue: While trying to logging to newly refreshed sandbox, cx was prompted to enter Two word phrase from authenticator. After entering the phrase, app was shuting down automatically and cx org was not registered in the app though it was showing connected under user details page in SF

Resolution: Asked the customer to install app in new device and try again and it worked","Allteck Limited Partnership","467831318"
